N;wordnetid;name;description
69;n02086079;Pekinese, Pekingese, Peke;a Chinese breed of small short-legged dogs with a long silky coat and broad flat muzzle
439;n02051845;pelican;large long-winged warm-water seabird having a large bill with a distensible pouch for fish
197;n02113023;Pembroke, Pembroke Welsh corgi;the smaller and straight-legged variety of corgi having pointed ears and a short tail
842;n03908618;pencil box, pencil case;a box for holding pencils
850;n03908714;pencil sharpener;a rotary implement for sharpening the point on pencils
883;n03916031;perfume, essence;a toiletry that emits and diffuses a fragrant odor
10;n02123394;Persian cat;a long-haired breed of cat
783;n03920288;Petri dish;a shallow dish used to culture bacteria
789;n03924679;photocopier;a copier that uses photographic methods of making copies
575;n03929660;pick, plectrum, plectron;a small thin device (of metal or plastic or ivory) used to pluck a stringed instrument
926;n03929855;pickelhaube;a spiked helmet worn by German soldiers
722;n03930313;picket fence, paling;a fence made of upright pickets
281;n03930630;pickup, pickup truck;a light truck with an open body and low sides and a tailboard
596;n03933933;pier;a support for two adjacent bridge spans
931;n03935335;piggy bank, penny bank;a childs coin bank (often shaped like a pig)
901;n03937543;pill bottle;a small bottle for holding pills
888;n03938244;pillow;a cushion to support the head of a sleeping person
322;n07753275;pineapple, ananas;"large sweet fleshy tropical fruit with a terminal tuft of stiff leaves; widely cultivated"
841;n03942813;ping-pong ball;light hollow ball used in playing table tennis
565;n03944341;pinwheel;"a wheel that has numerous pins that are set at right angles to its rim; ""he spun the pinwheel and it stopped with the pointer on... <Preview truncated at 128 characters>"
245;n03947888;pirate, pirate ship;a ship that is manned by pirates
983;n03950228;pitcher, ewer;an open vessel with a handle and a spout for pouring
948;n07873807;pizza, pizza pie;Italian open pie made of thin bread dough spread with a spiced mixture of e.g. tomato sauce and cheese
372;n03954731;plane, carpenters plane, woodworking plane;"a carpenters hand tool with an adjustable blade for smoothing or shaping wood; ""the cabinetmaker used a plane for the finish wo... <Preview truncated at 128 characters>"
693;n03956157;planetarium;a building housing an instrument for projecting the positions of the planets onto a domed ceiling
964;n03958227;plastic bag;a bag made of thin plastic material
754;n07579787;plate;"a main course served on a plate; ""a vegetable plate""; ""the blue plate special"""
731;n03961711;plate rack;a rack for holding plates to dry after they have been washed
217;n01873310;platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus;"small densely furred aquatic monotreme of Australia and Tasmania having a broad bill and tail and webbed feet; only species in t... <Preview truncated at 128 characters>"
381;n03967562;plow, plough;a farm tool having one or more heavy blades to break the soil and cut a furrow prior to sowing
378;n03970156;plunger, plumbers helper;"hand tool consisting of a stick with a rubber suction cup at one end; used to clean clogged drains"
857;n03976467;Polaroid camera, Polaroid Land camera;a camera that develops and produces a positive print within seconds
923;n03976657;pole;a long (usually round) rod of wood or metal or plastic
182;n02443114;polecat, fitch, foulmart, foumart, Mustela putorius;dark brown mustelid of woodlands of Eurasia that gives off an unpleasant odor when threatened
285;n03977966;police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria;van used by police to transport prisoners
326;n07768694;pomegranate;large globular fruit having many seeds with juicy red pulp in a tough brownish-red rind
118;n02112018;Pomeranian;breed of very small compact long-haired dogs of the spitz type
855;n03980874;poncho;a blanket-like cloak with a hole in the center for the head
314;n03982430;pool table, billiard table, snooker table;game equipment consisting of a heavy table on which pool is played
788;n03983396;pop bottle, soda bottle;a bottle for holding soft drinks
13;n02346627;porcupine, hedgehog;relatively large rodents with sharp erectile bristles mingled with the fur
838;n03991062;pot, flowerpot;a container in which plants are cultivated
830;n07875152;potpie;deep-dish meat and vegetable pie or a meat stew with dumplings
566;n03992509;potters wheel;"a horizontal rotating wheel holding the clay being shaped by a potter; ""the potters wheel was invented in Asia Minor around 650... <Preview truncated at 128 characters>"
373;n03995372;power drill;a power tool for drilling holes into hard materials
404;n01798484;prairie chicken, prairie grouse, prairie fowl;brown mottled North American grouse of western prairies
769;n03998194;prayer rug, prayer mat;a small rug used by Muslims during their devotions
975;n07695742;pretzel;glazed and salted cracker typically in the shape of a loose knot
556;n04004767;printer;(computer science) an output device that prints the results of data processing
702;n04005630;prison, prison house;a correctional institution where persons are confined while on trial or for punishment
100;n02489166;proboscis monkey, Nasalis larvatus;Borneo monkey having a long bulbous nose
542;n04008634;projectile, missile;a weapon that is forcibly thrown or projected at a targets but is not self-propelled
534;n04009552;projector;an optical instrument that projects an enlarged image onto a screen
363;n09399592;promontory, headland, head, foreland;a natural elevation (especially a rocky one that juts out into the sea)
402;n01796340;ptarmigan;large Arctic and subarctic grouse with feathered feet and usually white winter plumage
572;n04019541;puck, hockey puck;a vulcanized rubber disk 3 inches in diameter that is used instead of a ball in ice hockey
455;n02655020;puffer, pufferfish, blowfish, globefish;"any of numerous marine fishes whose elongated spiny body can inflate itself with water or air to form a globe; several species c... <Preview truncated at 128 characters>"
143;n02110958;pug, pug-dog;small compact smooth-coated breed of Asiatic origin having a tightly curled tail and broad flat wrinkled muzzle
846;n04023962;punching bag, punch bag, punching ball, punchball;an inflated ball or bag that is suspended and punched for training in boxing
939;n04026417;purse;a small bag for carrying money
406;n01806567;quail;small gallinaceous game birds
862;n04033901;quill, quill pen;pen made from a birds feather
976;n04033995;quilt, comforter, comfort, puff;bedding made of two layers of cloth filled with stuffing and stitched together
273;n04037443;racer, race car, racing car;a fast car that competes in races
860;n04039381;racket, racquet;a sports implement (usually consisting of a handle and an oval frame with a tightly interlaced network of strings) used to strik... <Preview truncated at 128 characters>
571;n04040759;radiator;"a mechanism consisting of a metal honeycomb through which hot fluids circulate; heat is transferred from the fluid through the h... <Preview truncated at 128 characters>"
537;n04044716;radio telescope, radio reflector;astronomical telescope that picks up electromagnetic radiations in the radio-frequency range from extraterrestrial sources
863;n04041544;radio, wireless;a communication system based on broadcasting electromagnetic waves
927;n04049303;rain barrel;a barrel used as a cistern to hold rainwater
81;n02412080;ram, tup;"uncastrated adult male sheep; ""a British term is `tup"""
330;n11879895;rapeseed;"seed of rape plants; source of an edible oil"
286;n04065272;recreational vehicle, RV, R.V.;a motorized wheeled vehicle used for camping or other recreational activities
62;n02119022;red fox, Vulpes vulpes;"the common Old World fox; having reddish-brown fur; commonly considered a single circumpolar species"
798;n07892512;red wine;wine having a red color derived from skins of dark-colored grapes
28;n02114712;red wolf, maned wolf, Canis rufus, Canis niger;reddish-grey wolf of southwestern North America
434;n02027492;red-backed sandpiper, dunlin, Erolia alpina;small common sandpiper that breeds in northern or Arctic regions and winters in southern United States or Mediterranean regions
419;n01855032;red-breasted merganser, Mergus serrator;widely distributed merganser of America and Europe
181;n02090379;redbone;a speedy red or red-and-tan American hound
435;n02028035;redshank, Tringa totanus;a common Old World wading bird with long red legs
570;n04067472;reel;"winder consisting of a revolving spool with a handle; attached to a fishing rod"
965;n04069434;reflex camera;camera that allows the photographer to view and focus the exact scene being photographed
668;n04070727;refrigerator, icebox;white goods in which food can be stored at low temperatures
578;n04074963;remote control, remote;"a device that can be used to control a machine or apparatus from a distance; ""he lost the remote for his TV"""
694;n04081281;restaurant, eating house, eating place, eatery;a building where people go to eat
219;n04086273;revolver, six-gun, six-shooter;a pistol with a revolving cylinder (usually having six chambers for bullets)
627;n02174001;rhinoceros beetle;"any of various large chiefly tropical beetles having horns on the head; pest on coconuts"
200;n02087394;Rhodesian ridgeback;a powerful short-haired African hunting dog having a crest of reversed hair along the spine
541;n04090263;rifle;"a shoulder firearm with a long barrel and a rifled bore; ""he lifted the rifle to his shoulder and fired"""
642;n02277742;ringlet, ringlet butterfly;any of various butterflies belonging to the family Satyridae
478;n01728920;ringneck snake, ring-necked snake, ring snake;any of numerous small nonvenomous North American snakes with a yellow or orange ring around the neck
391;n01558993;robin, American robin, Turdus migratorius;large American thrush having a rust-red breast and abdomen
452;n02606052;rock beauty, Holocanthus tricolor;gold and black butterflyfish found from West Indies to Brazil
614;n01978455;rock crab, Cancer irroratus;crab of eastern coast of North America
487;n01744401;rock python, rock snake, Python sebae;very large python of tropical and southern Africa
310;n04099969;rocking chair, rocker;a chair mounted on rockers
663;n04111531;rotisserie;an oven or broiler equipped with a rotating spit on which meat cooks as it turns
64;n02106550;Rottweiler;German breed of large vigorous short-haired cattle dogs
997;n04116512;rubber eraser, rubber, pencil eraser;"an eraser made of rubber (or of a synthetic material with properties similar to rubber); commonly mounted at one end of a pencil"
433;n02025239;ruddy turnstone, Arenaria interpres;common Arctic turnstone that winters in South America and Australia
403;n01797886;ruffed grouse, partridge, Bonasa umbellus;valued as a game bird in eastern United States and Canada
876;n04118538;rugby ball;inflated oval ball used in playing rugby
519;n04118776;rule, ruler;measuring stick consisting of a strip of wood or metal or plastic with a straight edge that is used for drawing straight lines a... <Preview truncated at 128 characters>
760;n04120489;running shoe;a light comfortable shoe designed for running
753;n04125021;safe;strongbox where valuables can be safely kept
586;n04127249;safety pin;"a pin in the form of a clasp; has a guard so the point of the pin will not stick the user"
177;n02109525;Saint Bernard, St Bernard;a Swiss alpine breed of large powerful dog with a thick coat of hair used as a rescue dog
952;n04131690;saltshaker, salt shaker;a shaker with a perforated top for sprinkling salt
66;n02091831;Saluki, gazelle hound;"old breed of tall swift keen-eyed hunting dogs resembling greyhounds; from Egypt and southwestern Asia"
179;n02111889;Samoyed, Samoyede;Siberian breed of white or cream-colored dog of the spitz family
751;n04133789;sandal;a shoe consisting of a sole fastened by straps to the foot
364;n09421951;sandbar, sand bar;a bar of sand
938;n04136333;sarong;"a loose skirt consisting of brightly colored fabric wrapped around the body; worn by both women and men in the South Pacific"
355;n04141076;sax, saxophone;a single-reed woodwind with a conical bore
809;n04141327;scabbard;a sheath for a sword or dagger or bayonet
521;n04141975;scale, weighing machine;"a measuring instrument for weighing; shows amount of mass"
68;n02104365;schipperke;breed of small stocky black dogs originally used as watchdogs on boats in the Netherlands and Belgium
962;n04146614;school bus;a bus used to transport children to or from school
221;n04147183;schooner;sailing vessel used in former times
729;n04149813;scoreboard;a large board for displaying the score of a contest (and some other information)
603;n01770393;scorpion;arachnid of warm dry regions having a long segmented tail ending in a venomous stinger
109;n02097298;Scotch terrier, Scottish terrier, Scottie;old Scottish breed of small long-haired usually black terrier with erect tail and ears
21;n02092002;Scottish deerhound, deerhound;"very large and tall rough-coated dog bred for hunting deer; known as the royal dog of Scotland"
510;n04152593;screen, CRT screen;the display that is electronically created on the surface of the large end of a cathode-ray tube
587;n04153751;screw;a fastener with a tapered threaded shank and a slotted head
379;n04154565;screwdriver;"a hand tool for driving screws; has a tip that fits into the head of a screw"
982;n10565667;scuba diver;an underwater diver who uses scuba gear
648;n01914609;sea anemone, anemone;"marine polyps that resemble flowers but have oral rings of tentacles; differ from corals in forming no hard skeleton"
658;n02321529;sea cucumber, holothurian;"echinoderm having a flexible sausage-shaped body, tentacles surrounding the mouth and tube feet; free-living mud feeders"
14;n02077923;sea lion;any of several large eared seals of the northern Pacific related to fur seals but lacking their valuable coat
655;n01950731;sea slug, nudibranch;any of various marine gastropods of the suborder Nudibranchia having a shell-less and often beautifully colored body
490;n01751748;sea snake;"any of numerous venomous aquatic viviparous snakes having a fin-like tail; of warm littoral seas; feed on fish which they immobi... <Preview truncated at 128 characters>"
657;n02319095;sea urchin;shallow-water echinoderms having soft bodies enclosed in thin spiny globular shells
72;n02095889;Sealyham terrier, Sealyham;a wire-haired terrier with short legs that was first bred in Sealyham
367;n09428293;seashore, coast, seacoast, sea-coast;the shore of a sea or ocean
589;n04162706;seat belt, seatbelt;a safety belt used in a car or plane to hold you in your seat in case of an accident
559;n04179913;sewing machine;a textile machine used as a home appliance for sewing
171;n02105855;Shetland sheepdog, Shetland sheep dog, Shetland;a small sheepdog resembling a collie that was developed in the Shetland Islands
800;n04192698;shield, buckler;armor carried on the arm to intercept blows
116;n02086240;Shih-Tzu;a Chinese breed of small dog similar to a Pekingese
709;n04200800;shoe shop, shoe-shop, shoe store;a shop where shoes are sold
832;n04201297;shoji;a translucent screen made of a wooden frame covered with rice paper
950;n04204238;shopping basket;a handbasket used to carry goods while shopping
259;n04204347;shopping cart;a handcart that holds groceries or other goods while shopping
380;n04208210;shovel;"a hand tool for lifting loose material; consists of a curved container or scoop and a handle"
868;n04209133;shower cap;a tight cap worn to keep hair dry while showering
747;n04209239;shower curtain;a curtain that keeps water from splashing out of the shower area
122;n02483708;siamang, Hylobates syndactylus, Symphalangus syndactylus;large black gibbon of Sumatra having the 2nd and 3rd toes partially united by a web
95;n02123597;Siamese cat, Siamese;a slender short-haired blue-eyed breed of cat having a pale coat with dark ears paws face and tail tip
3;n02110185;Siberian husky;"breed of sled dog developed in northeastern Siberia; they resemble the larger Alaskan malamutes"
493;n01756291;sidewinder, horned rattlesnake, Crotalus cerastes;"small pale-colored desert rattlesnake of southwestern United States; body moves in an s-shaped curve"
131;n02097658;silky terrier, Sydney silky;Australian breed of toy dogs having a silky blue coat
590;n04228054;ski;narrow wood or metal or plastic runners used in pairs for gliding over snow
776;n04229816;ski mask;a woolen face mask to protect the face from cold while skiing on snow
44;n02445715;skunk, polecat, wood pussy;"American musteline mammal typically ejecting an intensely malodorous fluid when startled; in some classifications put in a separ... <Preview truncated at 128 characters>"
943;n04235860;sleeping bag;"large padded bag designed to be slept in outdoors; usually rolls up like a bedroll"
549;n04238763;slide rule, slipstick;"analog computer consisting of a handheld instrument used for rapid calculations; have been replaced by pocket calculators"
726;n04239074;sliding door;a door that opens by sliding instead of swinging
557;n04243546;slot, one-armed bandit;"a slot machine that is used for gambling; ""they spend hours and hours just playing the slots"""
209;n02134418;sloth bear, Melursus ursinus, Ursus ursinus;common coarse-haired long-snouted bear of south-central Asia
654;n01945685;slug;any of various terrestrial gastropods having an elongated slimy body and no external shell
653;n01944390;snail;freshwater or marine or terrestrial gastropod mollusk usually having an external enclosing spiral shell
507;n04251144;snorkel;"breathing device consisting of a bent tube fitting into a swimmers mouth and extending above the surface; allows swimmer to bre... <Preview truncated at 128 characters>"
153;n02128757;snow leopard, ounce, Panthera uncia;large feline of upland central Asia having long thick whitish fur
288;n04252077;snowmobile;tracked vehicle for travel on snow having skis in front
278;n04252225;snowplow, snowplough;a vehicle used to push snow from roads
960;n04254120;soap dispenser;dispenser of liquid soap
222;n04254680;soccer ball;an inflated ball used in playing soccer
986;n04254777;sock;"hosiery consisting of a cloth covering for the foot; worn inside the shoe; reaches to between the ankle and the knee"
26;n02098105;soft-coated wheaten terrier;Irish breed of medium-sized terrier with an abundant coat any shade of wheat and very hairy head and muzzle
577;n04258138;solar dish, solar collector, solar furnace;"a concave mirror that concentrates the rays of the sun; can produce high temperatures"
925;n04259630;sombrero;"a straw hat with a tall crown and broad brim; worn in American southwest and in Mexico"
39;n02389026;sorrel;a horse of a brownish orange to light brown color
822;n04263257;soup bowl;a bowl for serving soup
858;n04264628;space bar;the bar-shaped typewriter key that introduces spaces when used
515;n04265275;space heater;heater consisting of a self-contained (usually portable) unit to warm a room
234;n04266014;space shuttle;a reusable spacecraft with wings for a controlled descent through the Earths atmosphere
740;n07716906;spaghetti squash;medium-sized oval squash with flesh in the form of strings that resemble spaghetti
676;n04270147;spatula;a turner with a narrow flexible blade
237;n04273569;speedboat;a fast motorboat
111;n02493793;spider monkey, Ateles geoffroyi;arboreal monkey of tropical America with long slender legs and long prehensile tail
600;n04275548;spider web, spiders web;a web resembling the webs spun by spiders
775;n04277352;spindle;a stick or pin used to twist the yarn in spinning
618;n01984695;spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish;large edible marine crustacean having a spiny carapace but lacking the large pincers of true lobsters
424;n02006656;spoonbill;wading birds having a long flat bill with a tip like a spoon
274;n04285008;sports car, sport car;"a small low car with a high-powered engine; usually seats two persons"
593;n04286575;spotlight, spot;"a lamp that produces a strong beam of light to illuminate a restricted area; used to focus attention of a stage performer"
497;n01632458;spotted salamander, Ambystoma maculatum;glossy black North American salamander with yellow spots
92;n02494079;squirrel monkey, Saimiri sciureus;small long-tailed monkey of Central American and South America with greenish fur and black muzzle
45;n02093256;Staffordshire bullterrier, Staffordshire bull terrier;English breed of strong stocky dog having a broad skull and smooth coat
804;n04296562;stage;"a large platform on which people can stand and can be seen by an audience; ""he clambered up onto the stage and got the actors to... <Preview truncated at 128 characters>"
151;n02113799;standard poodle;a breed or medium-sized poodles
156;n02097209;standard schnauzer;a medium-sized schnauzer
225;n02317335;starfish, sea star;echinoderms characterized by five arms extending from a central disk
263;n04310018;steam locomotive;a locomotive powered by a steam engine
680;n04311004;steel arch bridge;a steel bridge constructed in the form of an arch
340;n04311174;steel drum;"a concave percussion instrument made from the metal top of an oil drum; has an array of flattened areas that produce different t... <Preview truncated at 128 characters>"
530;n04317175;stethoscope;a medical instrument for listening to the sounds generated inside the body
446;n01498041;stingray;large venomous ray with large barbed spines near the base of a thin whiplike tail capable of inflicting severe wounds
893;n13040303;stinkhorn, carrion fungus;"any of various ill-smelling brown-capped fungi of the order Phallales; ""the foul smell of the stinkhorn attracts insects that ca... <Preview truncated at 128 characters>"
998;n04325704;stole;a wide scarf worn about their shoulders by women
724;n04326547;stone wall;"a fence built of rough stones; used to separate fields"
528;n04328186;stopwatch, stop watch;a timepiece that can be started or stopped for exact timing (as of a race)
516;n04330267;stove;any heating apparatus
514;n04332243;strainer;a filter to retain larger pieces while smaller pieces and liquids pass through
229;n07745940;strawberry;sweet fleshy red fruit
932;n06794110;street sign;a sign visible from the street
287;n04335435;streetcar, tram, tramcar, trolley, trolley car;a wheeled vehicle that runs on rails and is propelled by electricity
957;n04336792;stretcher;"a litter for transporting people who are ill or wounded or dead; usually consists of a sheet of canvas stretched between two pol... <Preview truncated at 128 characters>"
311;n04344873;studio couch, day bed;convertible consisting of an upholstered couch that can be converted into a double bed
692;n04346328;stupa, tope;a dome-shaped shrine erected by Buddhists
456;n02640242;sturgeon;"large primitive fishes valued for their flesh and roe; widely distributed in the North Temperate Zone"
247;n04347754;submarine, pigboat, sub, U-boat;a submersible warship usually armed with torpedoes
794;n04350905;suit, suit of clothes;"a set of garments (usually including a jacket and trousers or skirt) for outerwear all of the same fabric and color; ""they burie... <Preview truncated at 128 characters>"
645;n02281406;sulphur butterfly, sulfur butterfly;any of numerous yellow or orange butterflies
410;n01819313;sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita;white cockatoo with a yellow erectile crest
526;n04355338;sundial;timepiece that indicates the daylight hours by the shadow that the gnomon casts on a calibrated dial
574;n04355933;sunglass;"a convex lens that focuses the rays of the sun; used to start a fire"
535;n04356056;sunglasses, dark glasses, shades;"spectacles that are darkened or polarized to protect the eyes from the glare of the sun; ""he was wearing a pair of mirrored shad... <Preview truncated at 128 characters>"
810;n04357314;sunscreen, sunblock, sun blocker;"a cream spread on the skin; contains a chemical (as PABA) to filter out ultraviolet light and so protect from sunburn"
681;n04366367;suspension bridge;a bridge that has a roadway supported by cables that are anchored at both ends
196;n02102480;Sussex spaniel;an English breed with short legs and a golden liver-colored coat
828;n04367480;swab, swob, mop;"cleaning implement consisting of absorbent material fastened to a handle; for cleaning floors"
837;n04370456;sweatshirt;cotton knit pullover with long sleeves worn during athletic activity
945;n04371430;swimming trunks, bathing trunks;swimsuit worn by men while swimming
569;n04371774;swing;mechanical device used as a plaything to support someone swinging back and forth
561;n04372370;switch, electric switch, electrical switch;control consisting of a mechanical or electrical or electronic device for making or breaking or changing the connections in a ci... <Preview truncated at 128 characters>
531;n04376876;syringe;a medical instrument used to inject or withdraw fluids
174;n02123045;tabby, tabby cat;a cat with a grey or tawny coat mottled with black
304;n04380533;table lamp;a lamp that sits on a table
501;n01644900;tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui;western North American frog with a taillike copulatory organ
250;n04389033;tank, army tank, armored combat vehicle, armoured combat vehicle;"an enclosed armored military vehicle; has a cannon and moves on caterpillar treads"
978;n04392985;tape player;electronic equipment for playing back magnetic tapes
608;n01774750;tarantula;large hairy tropical spider with fangs that can inflict painful but not highly venomous bites
675;n04398044;teapot;"pot for brewing tea; usually has a spout and handle"
786;n04399382;teddy, teddy bear;plaything consisting of a childs toy bear (usually plush and stuffed with soft materials)
944;n04404412;television, television system;a telecommunication system that transmits images of objects (stationary or moving) between distant points
449;n01440764;tench, Tinca tinca;freshwater dace-like game fish of Europe and western Asia noted for ability to survive outside water
970;n04409515;tennis ball;ball about the size of a fist used in playing tennis
461;n01667778;terrapin;any of various edible North American web-footed turtles living in fresh or brackish water
989;n04417672;thatch, thatched roof;a house roof made with a plant material (as straw)
903;n04418357;theater curtain, theatre curtain;"a hanging cloth that conceals the stage from the view of the audience; rises or parts at the beginning and descends or closes be... <Preview truncated at 128 characters>"
758;n04423845;thimble;"a small metal cap to protect the finger while sewing; can be used as a small container"
38;n02457408;three-toed sloth, ai, Bradypus tridactylus;a sloth that has three long claws on each forefoot and each hindfoot
555;n04428191;thresher, thrasher, threshing machine;a farm machine for separating seeds or grain from the husks and straw
308;n04429376;throne;"the chair of state for a monarch, bishop, etc.; ""the king sat on his throne"""
477;n01728572;thunder snake, worm snake, Carphophis amoenus;small reddish wormlike snake of eastern United States
110;n02108551;Tibetan mastiff;very large powerful rough-coated dog native to central Asia
158;n02097474;Tibetan terrier, chrysanthemum dog;breed of medium-sized terriers bred in Tibet resembling Old English sheepdogs with fluffy curled tails
610;n01776313;tick;"any of two families of small parasitic arachnids with barbed proboscis; feed on blood of warm-blooded animals"
621;n02165105;tiger beetle;active usually bright-colored beetle that preys on other insects
55;n02123159;tiger cat;a cat having a striped coat
443;n01491361;tiger shark, Galeocerdo cuvieri;large dangerous warm-water shark with striped or spotted body
76;n02129604;tiger, Panthera tigris;"large feline of forests in most of Asia having a tawny coat with black stripes; endangered"
780;n04435653;tile roof;a roof made of fired clay tiles
205;n02114367;timber wolf, grey wolf, gray wolf, Canis lupus;a wolf with a brindled grey coat living in forested northern regions of North America
37;n02493509;titi, titi monkey;small South American monkeys with long beautiful fur and long nonprehensile tail
664;n04442312;toaster;a kitchen appliance (usually electric) for toasting bread
710;n04443257;tobacco shop, tobacconist shop, tobacconist;a shop that sells pipes and pipe tobacco and cigars and cigarettes
312;n04447861;toilet seat;the hinged seat on a toilet
889;n15075141;toilet tissue, toilet paper, bathroom tissue;a soft thin absorbent paper for use in toilets
594;n04456115;torch;"a light usually carried in the hand; consists of some flammable substance"
700;n04458633;totem pole;"a tribal emblem consisting of a pillar carved and painted with totemic figures; erected by Indian tribes of the northwest Pacifi... <Preview truncated at 128 characters>"
417;n01843383;toucan;brilliantly colored arboreal fruit-eating bird of tropical America having a very large thin-walled beak
282;n04461696;tow truck, tow car, wrecker;a truck equipped to hoist and pull wrecked cars (or to remove cars from no-parking zones)
106;n02113624;toy poodle;the breed of very small poodles
89;n02087046;toy terrier;a small active dog
711;n04462240;toyshop;shop where toys are sold
289;n04465501;tractor;"a wheeled vehicle with large wheels; used in farming and other applications"
861;n06874185;traffic light, traffic signal, stoplight;a visual signal to control the flow of traffic at intersections
283;n04467665;trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi;a truck consisting of a tractor and trailer together
766;n04476259;tray;an open receptacle for holding or displaying or serving articles or food
500;n01644373;tree frog, tree-frog;any of various Old World arboreal frogs distinguished from true frogs by adhesive suckers on the toes
825;n04479046;trench coat;"a military style raincoat; belted with deep pockets"
474;n01704323;triceratops;huge ceratopsian dinosaur having three horns and the neck heavily armored with a very solid frill
291;n04482393;tricycle, trike, velocipede;a vehicle with three wheels that is moved by foot pedals
793;n07613480;trifle;"a cold pudding made of layers of sponge cake spread with fruit or jelly; may be decorated with nuts, cream, or chocolate"
601;n01768244;trilobite;"an extinct arthropod that was abundant in Paleozoic times; had an exoskeleton divided into three parts"
242;n04483307;trimaran;a fast sailboat with 3 parallel hulls
597;n04485082;tripod;a three-legged rack used for support
678;n04486054;triumphal arch;"a monumental archway; usually they are built to commemorate some notable victory"
882;n04487081;trolleybus, trolley coach, trackless trolley;a passenger bus with an electric motor that draws power from overhead wires
349;n04487394;trombone;a brass instrument consisting of a long tube whose length can be varied by a U-shaped slide
765;n04493381;tub, vat;a large open vessel for holding or storing liquids
727;n04501370;turnstile;"a gate consisting of a post that acts as a pivot for rotating arms; set in a passageway for controlling the persons entering"
214;n01871265;tusker;any mammal with prominent tusks (especially an elephant or wild boar)
544;n04505470;typewriter keyboard;a keyboard for manually entering characters to be printed
220;n04507155;umbrella;a lightweight handheld collapsible canopy
292;n04509417;unicycle, monocycle;a vehicle with a single wheel that is driven by pedals
334;n04515003;upright, upright piano;a piano with a vertical sounding board
666;n04517823;vacuum, vacuum cleaner;an electrical home appliance that cleans by suction
360;n09468604;valley, vale;a long depression in the surface of the land that usually contains a river
874;n04522168;vase;an open jar of glass or porcelain used as an ornament or to hold flowers
990;n04523525;vault;an arched brick or stone ceiling or roof
969;n04525038;velvet;a silky densely piled fabric with a plain back
558;n04525305;vending machine;a slot machine for selling goods
790;n04532106;vestment;gown (especially ceremonial garments) worn by the clergy
682;n04532670;viaduct;bridge consisting of a series of arches supported by piers used to carry a road (or railroad) over a valley
484;n01739381;vine snake;slender arboreal snake found from southern Arizona to Bolivia
343;n04536866;violin, fiddle;"bowed stringed instrument that is the highest member of the violin family; this instrument has four strings and a hollow body an... <Preview truncated at 128 characters>"
90;n02100583;vizsla, Hungarian pointer;Hungarian hunting dog resembling the Weimaraner but having a rich deep red coat
362;n09472597;volcano;a mountain formed by volcanic material
936;n04540053;volleyball;an inflated ball used in playing volleyball
399;n01616318;vulture;any of various large diurnal birds of prey having naked heads and weak claws and feeding chiefly on carrion
665;n04542943;waffle iron;"a kitchen appliance for baking waffles; the appliance usually consists of two indented metal pans hinged together so that they c... <Preview truncated at 128 characters>"
18;n02089867;Walker hound, Walker foxhound;an American breed of foxhound
633;n02231487;walking stick, walkingstick, stick insect;any of various mostly tropical insects having long twiglike bodies
524;n04548280;wall clock;a clock mounted on a wall
216;n01877812;wallaby, brush kangaroo;"any of various small or medium-sized kangaroos; often brightly colored"
928;n04548362;wallet, billfold, notecase, pocketbook;a pocket-size case for holding papers and paper money
317;n04550184;wardrobe, closet, press;"a tall piece of furniture that provides storage space for clothes; has a door and rails or hooks for hanging clothes"
231;n04552348;warplane, military plane;an aircraft designed and used for combat
120;n02397096;warthog;African wild swine with warty protuberances on the face and large protruding tusks
906;n04553703;washbasin, handbasin, washbowl, lavabo, wash-hand basin;a basin for washing the hands (`wash-hand basin is a British expression)
669;n04554684;washer, automatic washer, washing machine;a home appliance for washing clothes and linens automatically
958;n04557648;water bottle;a bottle for holding water
162;n02408429;water buffalo, water ox, Asiatic buffalo, Bubalus bubalis;an Asian buffalo that is often domesticated for use as a draft animal
819;n04560804;water jug;a jug that holds water
396;n01601694;water ouzel, dipper;"small stocky diving bird without webbed feet; frequents fast-flowing streams and feeds along the bottom"
483;n01737021;water snake;any of various mostly harmless snakes that live in or near water
795;n04562935;water tower;a large reservoir for water
48;n02441942;weasel;small carnivorous mammal with short legs and elongated body and neck
553;n06359193;web site, website, internet site, site;"a computer connected to the internet that maintains a series of web pages on the World Wide Web; ""the Israeli web site was damag... <Preview truncated at 128 characters>"
628;n02177972;weevil;"any of several families of mostly small beetles that feed on plants and plant products; especially snout beetles and seed beetle... <Preview truncated at 128 characters>"
25;n02092339;Weimaraner;"large breed of hound having a smooth greyish coat; originated in Germany"
19;n02102177;Welsh springer spaniel;a red-and-white breed slightly smaller than the English springer spaniel
71;n02098286;West Highland white terrier;small white long-coated terrier developed in Scotland
20;n02091134;whippet;small slender dog of greyhound type developed in England
466;n01685808;whiptail, whiptail lizard;any of numerous very agile and alert New World lizards
772;n04579145;whiskey jug;a jug that contains whiskey
502;n04579432;whistle;acoustic device that forces air or steam against an edge or into a cavity and so produces a loud shrill sound
422;n02002556;white stork, Ciconia ciconia;"the common stork of Europe; white with black wing feathers and a red bill"
